time_allocation,time_retrieve,time_total,n,rows_per_block,threads_per_line
0.173945,3.616e-05,2.93633,10000,1,4
0.174035,3.6671e-05,2.13415,10000,2,4
0.173998,3.6884e-05,1.88207,10000,4,4
0.173942,3.5226e-05,1.81384,10000,8,4
0.173821,3.5995e-05,1.83029,10000,16,4
0.17398,3.5323e-05,1.83181,10000,32,4
0.174211,3.6283e-05,1.83938,10000,64,4
0.174057,3.6085e-05,1.83604,10000,128,4
0.173784,3.6614e-05,2.43352,10000,256,4
0.173837,3.629e-05,2.2023,10000,1,8
0.173641,3.5932e-05,1.90754,10000,2,8
0.173895,3.6699e-05,1.76205,10000,4,8
0.173723,3.6581e-05,1.7598,10000,8,8
0.174057,3.5495e-05,1.97655,10000,16,8
0.17408,3.5377e-05,1.76905,10000,32,8
0.173982,3.6175e-05,1.76096,10000,64,8
0.173856,3.6085e-05,1.75976,10000,128,8
0.173919,3.6586e-05,1.36709,10000,1,16
0.173757,3.6394e-05,1.21982,10000,2,16
0.173649,3.6317e-05,1.28666,10000,4,16
0.173771,3.6802e-05,1.19746,10000,8,16
0.173793,3.6363e-05,1.59902,10000,16,16
0.173909,3.6172e-05,2.68655,10000,32,16
0.173932,3.582e-05,2.29053,10000,64,16
0.174068,3.6954e-05,3.66721,10000,1,1
0.174021,3.6633e-05,2.37817,10000,2,1
0.174636,3.6319e-05,1.89466,10000,4,1
0.173933,3.6457e-05,1.80532,10000,8,1
0.17384,3.5895e-05,1.79961,10000,16,1
0.173966,3.656e-05,1.82444,10000,32,1
0.173909,3.523e-05,1.82405,10000,64,1
0.173622,3.6021e-05,1.82235,10000,128,1
0.174,3.621e-05,2.24246,10000,256,1
0.173991,3.7072e-05,3.34873,10000,512,1
0.173922,3.699e-05,5.04456,10000,1024,1
0.173851,3.6601e-05,3.20514,10000,1,2
0.174025,3.5359e-05,2.22821,10000,2,2
0.173909,3.61e-05,1.91135,10000,4,2
0.17386,3.6199e-05,1.83958,10000,8,2
0.174071,3.7589e-05,1.85013,10000,16,2
0.173944,3.6478e-05,1.83605,10000,32,2
0.173846,3.6406e-05,1.83588,10000,64,2
0.173825,3.8005e-05,1.83533,10000,128,2
0.173829,3.6011e-05,2.01302,10000,256,2
0.174068,3.582e-05,3.03049,10000,512,2
0.17399,3.5864e-05,2.93394,10000,1,4
0.173825,3.722e-05,2.1347,10000,2,4
0.173745,3.5182e-05,1.87897,10000,4,4
0.173772,3.6585e-05,1.81701,10000,8,4
0.173961,3.5737e-05,1.83033,10000,16,4
0.17369,3.609e-05,1.83091,10000,32,4
0.173807,3.5718e-05,1.83661,10000,64,4
0.174016,3.5646e-05,1.83442,10000,128,4
0.173835,4.3133e-05,2.44835,10000,256,4
0.173929,3.6876e-05,2.20523,10000,1,8
0.17409,3.59e-05,1.90886,10000,2,8
0.173808,3.6501e-05,1.76156,10000,4,8
0.173932,3.5438e-05,1.75717,10000,8,8
0.173975,3.6519e-05,1.97781,10000,16,8
0.17388,3.6278e-05,1.76565,10000,32,8
0.17382,3.7596e-05,1.76233,10000,64,8
0.174003,3.6526e-05,1.76049,10000,128,8
0.174052,3.6323e-05,1.37019,10000,1,16
0.173887,3.5874e-05,1.21808,10000,2,16
0.173875,3.557e-05,1.28668,10000,4,16
0.173821,3.6511e-05,1.19988,10000,8,16
0.173812,3.7029e-05,1.59758,10000,16,16
0.174295,3.6414e-05,2.70537,10000,32,16
0.17409,3.6393e-05,2.28177,10000,64,16
0.173843,3.8061e-05,3.66545,10000,1,1
0.173676,3.6759e-05,2.37722,10000,2,1
0.173761,3.5689e-05,1.89589,10000,4,1
0.173692,3.5882e-05,1.80083,10000,8,1
0.174066,3.5676e-05,1.80027,10000,16,1
0.17366,3.621e-05,1.82673,10000,32,1
0.174097,3.5804e-05,1.81948,10000,64,1
0.173867,3.5902e-05,1.82404,10000,128,1
0.173951,3.6923e-05,2.24467,10000,256,1
0.174174,3.6007e-05,3.33793,10000,512,1
0.173869,3.7034e-05,5.0322,10000,1024,1
0.173931,3.689e-05,3.20351,10000,1,2
0.173902,3.5827e-05,2.22756,10000,2,2
0.173952,3.6237e-05,1.9109,10000,4,2
0.173719,3.5854e-05,1.83558,10000,8,2
0.173996,3.604e-05,1.85277,10000,16,2
0.173999,3.658e-05,1.83751,10000,32,2
0.173959,3.5778e-05,1.83624,10000,64,2
0.173901,3.6785e-05,1.83508,10000,128,2
0.173665,3.5712e-05,2.01102,10000,256,2
0.173793,3.614e-05,3.04194,10000,512,2
0.174162,3.6461e-05,2.93706,10000,1,4
0.17399,3.6647e-05,2.13389,10000,2,4
0.17389,3.5112e-05,1.88033,10000,4,4
0.173698,3.6284e-05,1.81175,10000,8,4
0.17394,3.5264e-05,1.83252,10000,16,4
0.17437,3.5517e-05,1.8341,10000,32,4
0.173789,3.6549e-05,1.83273,10000,64,4
0.173906,3.5617e-05,1.83225,10000,128,4
0.173869,3.6577e-05,2.44503,10000,256,4
0.173718,3.6683e-05,2.20537,10000,1,8
0.174144,3.7009e-05,1.9123,10000,2,8
0.173704,3.6052e-05,1.75895,10000,4,8
0.174001,3.6148e-05,1.75906,10000,8,8
0.173602,3.6087e-05,1.97925,10000,16,8
0.17384,3.6875e-05,1.76744,10000,32,8
0.174164,3.6431e-05,1.76389,10000,64,8
0.173898,3.7239e-05,1.76116,10000,128,8
0.173849,3.6321e-05,1.36784,10000,1,16
0.173986,3.6724e-05,1.21798,10000,2,16
0.173965,4.2955e-05,1.28254,10000,4,16
0.173814,3.6114e-05,1.20123,10000,8,16
0.173881,3.5646e-05,1.60123,10000,16,16
0.17387,3.5737e-05,2.68602,10000,32,16
0.173666,3.5628e-05,2.33911,10000,64,16
0.173525,3.7276e-05,3.66512,10000,1,1
0.17364,3.639e-05,2.37607,10000,2,1
0.173601,3.5196e-05,1.89345,10000,4,1
0.173949,3.6139e-05,1.80314,10000,8,1
0.173938,3.653e-05,1.80436,10000,16,1
0.173869,3.5981e-05,1.82875,10000,32,1
0.173987,3.628e-05,1.8223,10000,64,1
0.173854,3.5776e-05,1.82136,10000,128,1
0.173925,3.6308e-05,2.24816,10000,256,1
0.173974,3.5548e-05,3.34455,10000,512,1
0.173974,3.6262e-05,5.04523,10000,1024,1
0.173702,3.5849e-05,3.20314,10000,1,2
0.17407,3.6028e-05,2.22675,10000,2,2
0.173796,3.6471e-05,1.90723,10000,4,2
0.173753,3.5945e-05,1.8364,10000,8,2
0.174072,3.5974e-05,1.85279,10000,16,2
0.173876,3.5297e-05,1.83475,10000,32,2
0.173973,3.6553e-05,1.83922,10000,64,2
0.173824,3.6547e-05,1.83256,10000,128,2
0.173817,3.6721e-05,2.01034,10000,256,2
0.173731,3.6091e-05,3.03372,10000,512,2
0.174002,3.5845e-05,2.93298,10000,1,4
0.173735,3.5858e-05,2.13514,10000,2,4
0.173978,3.5867e-05,1.88408,10000,4,4
0.17385,3.6412e-05,1.8173,10000,8,4
0.173804,3.6688e-05,1.83137,10000,16,4
0.173721,3.6228e-05,1.83372,10000,32,4
0.173713,3.6201e-05,1.83891,10000,64,4
0.173973,3.5849e-05,1.83724,10000,128,4
0.17399,3.5511e-05,2.43952,10000,256,4
0.173665,3.5805e-05,2.20336,10000,1,8
0.173853,3.5692e-05,1.90565,10000,2,8
0.174226,3.7194e-05,1.76094,10000,4,8
0.174869,3.5476e-05,1.76087,10000,8,8
0.173612,3.607e-05,1.98115,10000,16,8
0.174032,3.6268e-05,1.76787,10000,32,8
0.1739,3.6142e-05,1.76159,10000,64,8
0.174039,3.6206e-05,1.76195,10000,128,8
0.173935,3.6812e-05,1.36493,10000,1,16
0.173958,3.597e-05,1.21733,10000,2,16
0.173964,3.6269e-05,1.28755,10000,4,16
0.173775,3.5999e-05,1.19962,10000,8,16
0.173939,3.565e-05,1.59984,10000,16,16
0.173904,3.6329e-05,2.65991,10000,32,16
0.173808,3.622e-05,2.29139,10000,64,16
0.173685,3.6524e-05,3.66203,10000,1,1
0.173822,3.5833e-05,2.37458,10000,2,1
0.174017,3.5465e-05,1.89553,10000,4,1
0.17391,3.6691e-05,1.80211,10000,8,1
0.173867,3.5375e-05,1.80097,10000,16,1
0.174087,3.5647e-05,1.82756,10000,32,1
0.173762,3.4627e-05,1.82037,10000,64,1
0.173871,3.5799e-05,1.82288,10000,128,1
0.173846,3.6021e-05,2.24429,10000,256,1
0.173836,3.6217e-05,3.33972,10000,512,1
0.173831,3.5918e-05,5.03406,10000,1024,1
0.174005,3.6541e-05,3.20044,10000,1,2
0.173936,3.6197e-05,2.22468,10000,2,2
0.173936,3.653e-05,1.90923,10000,4,2
0.173671,3.7147e-05,1.83671,10000,8,2
0.174085,3.6321e-05,1.85057,10000,16,2
0.17386,3.5457e-05,1.83999,10000,32,2
0.17389,3.6271e-05,1.83687,10000,64,2
0.173968,3.5856e-05,1.8365,10000,128,2
0.174073,3.5614e-05,2.00973,10000,256,2
0.174022,3.5834e-05,3.03648,10000,512,2
0.174051,3.673e-05,2.93779,10000,1,4
0.173916,3.5624e-05,2.13998,10000,2,4
0.173705,3.6689e-05,1.88082,10000,4,4
0.175182,3.733e-05,1.81765,10000,8,4
0.173766,3.6315e-05,1.82821,10000,16,4
0.173761,3.6629e-05,1.8327,10000,32,4
0.173885,3.5449e-05,1.83389,10000,64,4
0.173959,3.5969e-05,1.83542,10000,128,4
0.174181,3.5864e-05,2.45504,10000,256,4
0.173689,3.5283e-05,2.1998,10000,1,8
0.173634,3.582e-05,1.90843,10000,2,8
0.173828,3.5973e-05,1.76098,10000,4,8
0.173868,3.6608e-05,1.75782,10000,8,8
