time_allocation,time_retrieve,time_total,n,rows_per_block,threads_per_line, max_iter
0.176101,4.0061e-05,1.07207,10000,16,32,500
0.176191,3.9501e-05,1.07275,10000,32,32,500
0.176147,4.0352e-05,1.0526,10000,1,64,500
0.176778,3.9722e-05,1.04881,10000,2,64,500
0.176084,3.9587e-05,1.05353,10000,4,64,500
0.176077,4.0643e-05,1.04668,10000,8,64,500
0.176233,4.0081e-05,1.05035,10000,16,64,500
0.176136,4.0115e-05,1.0385,10000,1,128,500
0.175961,4.0795e-05,1.03737,10000,2,128,500
0.176259,3.9342e-05,1.03752,10000,4,128,500
0.175981,4.0715e-05,1.0418,10000,8,128,500
0.176121,3.9598e-05,1.02474,10000,1,256,500
0.176187,4.5783e-05,1.02825,10000,2,256,500
0.176466,4.019e-05,1.02975,10000,4,256,500
0.175972,3.9485e-05,1.02084,10000,1,512,500
0.176026,3.9126e-05,1.0254,10000,2,512,500
0.176001,3.9598e-05,1.02397,10000,1,1024,500
0.69579,6.4113e-05,14.4834,20000,1,1,500
0.695262,6.4967e-05,8.87211,20000,2,1,500
0.694698,6.3968e-05,6.82679,20000,4,1,500
0.694505,6.4224e-05,6.13236,20000,8,1,500
0.695073,6.5682e-05,6.19422,20000,16,1,500
0.696576,6.278e-05,6.20695,20000,32,1,500
0.695147,6.4616e-05,6.19263,20000,64,1,500
0.696207,6.3779e-05,6.17561,20000,128,1,500
0.695423,6.461e-05,6.17249,20000,256,1,500
0.696974,6.5737e-05,7.86451,20000,512,1,500
0.69563,6.3672e-05,13.2145,20000,1024,1,500
0.695231,6.3577e-05,11.8177,20000,1,2,500
0.695532,6.3229e-05,7.81862,20000,2,2,500
0.695634,6.2873e-05,6.59733,20000,4,2,500
0.696132,6.375e-05,6.00953,20000,8,2,500
0.696229,6.3767e-05,6.06512,20000,16,2,500
0.694481,6.3788e-05,6.06228,20000,32,2,500
0.695191,6.3911e-05,6.05111,20000,64,2,500
0.695831,6.4122e-05,6.04266,20000,128,2,500
0.696851,6.3744e-05,6.04168,20000,256,2,500
0.694793,6.3677e-05,6.10919,20000,512,2,500
